avatar_img_channel,channel_url,codecs,color,current_optimal_res,date_posted,description,handle_name,is_sponsored,license,likes,music,num_comments,preview_image,related_videos,shortcode,subscribers,title,url,verified,video_id,video_length,video_url,viewport_frames,views,youtuber,youtuber_id
https://yt3.ggpht.com/4p8HQvp1CLv1HRXNbMx9mTbOGjsqg3W02jg8K41KtnptLVjts9bW_CsOuMOMXM7BFkAMXczR2w4=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channelUCYLNGLIzMhRTi6ZOLjAPSmw,"avc1.42001E, mp4a.40.2 / mp4a.40.2",bt709,640x268@24 / 640x268@24,2024-03-25T21:00:06.000Z,"(Entre Paréntesis) is taken from Shakira's new album, Las Mujeres Ya No Lloran, Out Now! Listen at https://SML.lnk.to/LMYNL

Lyrics: 

Dime que te pasó porque te noto fría 
tus besos ya no saben a lo que sabían 
Sigues durmiendo en mi cama
Pero la siento vacía
 
Dime que pasó ya no eres el de antes
Parece que esto para ti no es importante
Hay cosas en la vida tan obvias que no hace falta ni decir 
 
Se nota cuando se quiere 
Pero cuando no se nota más 
Antes venías sin llamarte 
Ahora sin avisar te vas 
 
Se nota cuando se quiere
Pero cuando no se nota más
Ya no hace falta que aparentes si
Pusiste el final entre paréntesis 
 
Esto ya no da más
Esto ya no da más
Esto ya no dio más
Pusiste el final entre paréntesis 
 
Tu boca me niega lo que dice tu mirada 
Tus manos no calientan cuando me tocas la piel 
Esa manera de besar no sabe a nada 
El que te abraza soy yo pero estás pensando en el 
 
Y tú uh uh uh ya lo diste por perdido
Sólo sé sinceró te lo pido 
Prefiero la verdad a vivir con tus labios compartidos
Me está doliendo y tú no sabes cuánto
Por culpa tuya se congeló el cuarto
Cada palabra me hiere
No creo que me recupere  
 
Se nota cuando se quiere
Pero cuando no se nota más
Antes venías sin llamarte 
Y ahora sin avisar te vas
 
Se nota cuando se quiere
Pero cuando no se nota más
Ya no hace falta que aparentes si
Pusiste el final entre paréntesis 
 
Esto ya no da más
Esto ya no da más
Esto ya no dio más
Pusiste el final entre paréntesis
 
Eso es…Grupo Frontera…con la Loba…
 
Auuuuu

Shakira: 
Official Site: https://www.shakira.com/  
Store: https://shakira.store/ 
Instagram: https://www.instagram.com/shakira 
Tik Tok: https://www.tiktok.com/@shakira 
Facebook: https://www.facebook.com/shakira 
Twitter: https://twitter.com/shakira 
 
Grupo Frontera: 
Instagram: https://www.instagram.com/grupofrontera/
Tik Tok: https://www.tiktok.com/@grupofrontera
Facebook: https://www.facebook.com/fronteragrupo/
 
#Shakira #GrupoFrontera #EntreParéntesis 
 
Official Video by Shakira & Grupo Frontera “(Entre Paréntesis)” (C) 2024 Ace Entertainment S.ar.l., under exclusive license to Sony Music Entertainment US Latin LLC",Shakira,,,491045,,22000,https://i.ytimg.com/vi/PEgoHBnZXzE/hqdefault.jpg,"['https://www.youtube.com/watch?v=6AiPyTd0o6c', 'https://www.youtube.com/watch?v=SHnDwYgGKkY', 'https://www.youtube.com/watch?v=8c7KOGxeY3w', 'https://www.youtube.com/watch?v=MgsdDfdGdHc', 'https://www.youtube.com/watch?v=P1jGg5nMoyc', 'https://www.youtube.com/watch?v=CocEMWdc7Ck', 'https://www.youtube.com/watch?v=i8YbyRkF-Lo', 'https://www.youtube.com/watch?v=-LsuEJcQUl0', 'https://www.youtube.com/watch?v=F6NiSxaNdUM', 'https://www.youtube.com/watch?v=plqNDl7hkEo', 'https://www.youtube.com/watch?v=QCZZwZQ4qNs', 'https://www.youtube.com/watch?v=l3bxt6r3zq8', 'https://www.youtube.com/watch?v=uGE5BgE9hz4', 'https://www.youtube.com/watch?v=oCxtsTU4BWg', 'https://www.youtube.com/watch?v=Ge4AKbnr6ME', 'https://www.youtube.com/watch?v=ZKocBMzFm8Q', 'https://www.youtube.com/watch?v=vMLk_T0PPbk', 'https://www.youtube.com/watch?v=K4_7-EKOK_Q']",PEgoHBnZXzE,46600000,"Shakira, Grupo Frontera - (Entre Paréntesis) (Official Video)",https://www.youtube.com/watch?v=PEgoHBnZXzE,False,PEgoHBnZXzE,169,https://rr2---sn-p5qddn7r.googlevideo.com/videoplayback%3Fexpire%3D1723087780%26ei%3DROezZtTbLd6ukucPvKjygQk%26ip%3D152.97.120.133%26id%3Do-AESaFzh1te7QmMKegMnXfwq3I5sxeOdF_zi5mPt2gvsk%26itag%3D313%26aitags%3D133%252C134%252C135%252C136%252C137%252C160%252C242%252C243%252C244%252C247%252C248%252C271%252C278%252C313%252C394%252C395%252C396%252C397%252C398%252C399%252C400%252C401%26source%3Dyoutube%26requiressl%3Dyes%26xpc%3DEgVo2aDSNQ%253D%253D%26mh%3DfK%26mm%3D31%252C26%26mn%3Dsn-p5qddn7r%252Csn-vgqsknzs%26ms%3Dau%252Conr%26mv%3Dm%26mvi%3D2%26pl%3D23%26gcr%3Dus%26initcwndbps%3D1395000%26bui%3DAXc671LlMoXcuZaRLDrUXsyhd58fiaWfMnBtF2GoMhMK9ZDAb7cmA0lcvttesXIyUjWOJMagfyB-akh9%26spc%3DMv1m9mlkZIJClz3Bo52KT-RQfA1vSHaC2bRtH7OmGgtU4TZD8cFS6POuUdTA%26vprv%3D1%26svpuc%3D1%26mime%3Dvideo%252Fwebm%26ns%3DjmQ_Ab-6dAxEuyIAmeNp0E8Q%26rqh%3D1%26gir%3Dyes%26clen%3D184841886%26dur%3D169.418%26lmt%3D1714866708195595%26mt%3D1723065658%26fvip%3D3%26keepalive%3Dyes%26c%3DWEB%26sefc%3D1%26txp%3D5532434%26n%3D1nV41E2nOgB_uy3G2Dqn%26sparams%3Dexpire%252Cei%252Cip%252Cid%252Caitags%252Csource%252Crequiressl%252Cxpc%252Cgcr%252Cbui%252Cspc%252Cvprv%252Csvpuc%252Cmime%252Cns%252Crqh%252Cgir%252Cclen%252Cdur%252Clmt%26lsparams%3Dmh%252Cmm%252Cmn%252Cms%252Cmv%252Cmvi%252Cpl%252Cinitcwndbps%26lsig%3DAGtxev0wRQIgAchhNBWyt_0sOaJFOlxbV_sjCC_qyzIc7_eljzmsSdcCIQDu_w3MABVUuv8_lu_gY88XUL0VbaG8wwx6dcSIfr5fIQ%253D%253D,640x268 / -,47627830,channelUCYLNGLIzMhRTi6ZOLjAPSmw,UCGnjeahCJW1AF34HBmQTJ-Q
https://yt3.ggpht.com/4p8HQvp1CLv1HRXNbMx9mTbOGjsqg3W02jg8K41KtnptLVjts9bW_CsOuMOMXM7BFkAMXczR2w4=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channelUCYLNGLIzMhRTi6ZOLjAPSmw,"avc1.42001E, mp4a.40.2 / mp4a.40.2",bt709,640x360@30 / 640x360@30,2024-04-11T16:00:18.000Z,"Shakira, Cardi B - Puntería (Behind The Scenes) 

Puntería is taken from Shakira's new album, Las Mujeres Ya No Lloran, Out Now! Listen at https://SML.lnk.to/LMYNL

Shakira: 
Official Site: https://www.shakira.com/
Store: https://shakira.store/
Instagram: https://www.instagram.com/shakira
Tik Tok: https://www.tiktok.com/@shakira
Facebook: https://www.facebook.com/shakira
Twitter: https://twitter.com/shakira

Cardi B: 
Official Site: https://www.cardibofficial.com/
Store: https://store.cardibofficial.com/
Instagram: https://www.instagram.com/iamcardib/
Tik Tok: https://www.tiktok.com/@iamcardib
Facebook: https://www.facebook.com/cardib/
Twitter: https://twitter.com/iamcardib

#Shakira #CardiB #Puntería 

Behind The Scenes Video by Shakira & Cardi B “Puntería” (C) 2024 Ace Entertainment S.ar.l., under exclusive license to Sony Music Entertainment US Latin LLC",Shakira,,,26995,,1500,https://i.ytimg.com/vi/PsfbhA3A_2U/hqdefault.jpg,"['https://www.youtube.com/watch?v=6AiPyTd0o6c', 'https://www.youtube.com/watch?v=SHnDwYgGKkY', 'https://www.youtube.com/watch?v=Y7RFjtNrMe4', 'https://www.youtube.com/watch?v=j102o4JbZTE', 'https://www.youtube.com/watch?v=GPmnZdaa1bk', 'https://www.youtube.com/watch?v=CocEMWdc7Ck', 'https://www.youtube.com/watch?v=P1jGg5nMoyc', 'https://www.youtube.com/watch?v=vMLk_T0PPbk', 'https://www.youtube.com/watch?v=xvbFjokb28U', 'https://www.youtube.com/watch?v=Dsp_8Lm1eSk', 'https://www.youtube.com/watch?v=qBHPQUCl_zI', 'https://www.youtube.com/watch?v=l3bxt6r3zq8', 'https://www.youtube.com/watch?v=P1DjcUj5f58', 'https://www.youtube.com/watch?v=t4H_Zoh7G5A', 'https://www.youtube.com/watch?v=-UV0QGLmYys', 'https://www.youtube.com/watch?v=N1mDyE52RPY', 'https://www.youtube.com/watch?v=pILCn6VO_RU']",PsfbhA3A_2U,46600000,"Shakira, Cardi B - Puntería (Behind The Scenes)",https://www.youtube.com/watch?v=PsfbhA3A_2U,False,PsfbhA3A_2U,203,https://rr1---sn-aj5ua5-5c.googlevideo.com/videoplayback%3Fexpire%3D1723087769%26ei%3DOeezZq_hHoTBsfIPhObn2Ak%26ip%3D68.119.227.98%26id%3Do-AAUASEDGxsSMltKJahU4YOiksWLJiNTzMhTc4jKTHgpG%26itag%3D313%26aitags%3D133%252C134%252C135%252C136%252C137%252C160%252C242%252C243%252C244%252C247%252C248%252C271%252C278%252C313%252C394%252C395%252C396%252C397%252C398%252C399%252C400%252C401%26source%3Dyoutube%26requiressl%3Dyes%26xpc%3DEgVo2aDSNQ%253D%253D%26mh%3Dmi%26mm%3D31%252C29%26mn%3Dsn-aj5ua5-5c%252Csn-5uaezndd%26ms%3Dau%252Crdu%26mv%3Dm%26mvi%3D1%26pl%3D21%26gcr%3Dus%26initcwndbps%3D1066250%26bui%3DAXc671I2cKmdfRZ_Y2LcnypCROaanLLDKnlClcj59XGs-Iw8kMitO5LEJOsbQsqY0uQE7mYxyJOEhFqN%26spc%3DMv1m9nUFIsPIzvz1ERDflGBKDe0TB39e_GfL4K9jzHraBCBqDxzcYIN4n-hT%26vprv%3D1%26svpuc%3D1%26mime%3Dvideo%252Fwebm%26ns%3DWi3rDIg59Sc05zfQIV-Eo8oQ%26rqh%3D1%26gir%3Dyes%26clen%3D276969640%26dur%3D203.403%26lmt%3D1712895385877594%26mt%3D1723065897%26fvip%3D4%26keepalive%3Dyes%26c%3DWEB%26sefc%3D1%26txp%3D5532434%26n%3DIzfT04hT4LtB9k-SeWIi%26sparams%3Dexpire%252Cei%252Cip%252Cid%252Caitags%252Csource%252Crequiressl%252Cxpc%252Cgcr%252Cbui%252Cspc%252Cvprv%252Csvpuc%252Cmime%252Cns%252Crqh%252Cgir%252Cclen%252Cdur%252Clmt%26lsparams%3Dmh%252Cmm%252Cmn%252Cms%252Cmv%252Cmvi%252Cpl%252Cinitcwndbps%26lsig%3DAGtxev0wRQIhAJxnl6bhzk2L1xcts8E6Xnk2UK8Y6EG53uTsAeoQrF2TAiB-zLZn307hlCVb7bDmyduA3DlmKNjZ51UCFHP4P0c9CQ%253D%253D,640x360 / -,1232356,channelUCYLNGLIzMhRTi6ZOLjAPSmw,UCGnjeahCJW1AF34HBmQTJ-Q
https://yt3.ggpht.com/4p8HQvp1CLv1HRXNbMx9mTbOGjsqg3W02jg8K41KtnptLVjts9bW_CsOuMOMXM7BFkAMXczR2w4=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channelUCYLNGLIzMhRTi6ZOLjAPSmw,"avc1.42001E, mp4a.40.2 / mp4a.40.2",bt709,640x360@30 / 640x360@30,2024-07-15T21:51:21.000Z,"Shakira performed “Hips Don’t Lie” / “Te Felicito” / “TQG”  / ""Punteria"" / Live on The 2024 Copa America finals from Hard Rock Stadium, Miami. 

Shakira: 
Official site: http://www.shakira.com
Shop: https://shakira.store
TikTok: https://www.tiktok.com/@shakira
Facebook: http://www.facebook.com/shakira
Twitter: http://www.twitter.com/shakira
Instagram: http://www.instagram.com/shakira

#Shakira #CopaAmerica",Shakira,,,188691,,9200,https://i.ytimg.com/vi/P1jGg5nMoyc/hqdefault.jpg,"['https://www.youtube.com/watch?v=Y7RFjtNrMe4', 'https://www.youtube.com/watch?v=6AiPyTd0o6c', 'https://www.youtube.com/watch?v=YHusMq92Seo', 'https://www.youtube.com/watch?v=pRpeEdMmmQ0', 'https://www.youtube.com/watch?v=j102o4JbZTE', 'https://www.youtube.com/watch?v=0As2spHxQYk', 'https://www.youtube.com/watch?v=GPmnZdaa1bk', 'https://www.youtube.com/watch?v=PSC4TcLJfAg', 'https://www.youtube.com/watch?v=jZGpkLElSu8', 'https://www.youtube.com/watch?v=ZD1QrIe--_Y', 'https://www.youtube.com/watch?v=pILCn6VO_RU', 'https://www.youtube.com/watch?v=vMLk_T0PPbk', 'https://www.youtube.com/watch?v=nUS497C6YNY', 'https://www.youtube.com/watch?v=_9pfbgpYDsk', 'https://www.youtube.com/watch?v=P1DjcUj5f58', 'https://www.youtube.com/watch?v=uVTifWo9uH0', 'https://www.youtube.com/watch?v=DUT5rEU6pqM', 'https://www.youtube.com/watch?v=mjrdywp5nyE', 'https://www.youtube.com/watch?v=l3bxt6r3zq8', 'https://www.youtube.com/watch?v=g7B2eKeuUh4']",P1jGg5nMoyc,46600000,SHAKIRA - CONMEBOL COPA AMÉRICA 2024 FINALS PERFORMANCE (Live from the Hard Rock Stadium Miami),https://www.youtube.com/watch?v=P1jGg5nMoyc,False,P1jGg5nMoyc,489,https://rr2---sn-vgqsknzz.googlevideo.com/videoplayback%3Fexpire%3D1723087764%26ei%3DNOezZoDkKsv2zLUPysLsqQQ%26ip%3D50.40.237.49%26id%3Do-AKYPTDbWvZdHKznJ6Kna7K5j11vUIrxBImTQiHzspwFc%26itag%3D299%26aitags%3D133%252C134%252C135%252C136%252C160%252C242%252C243%252C244%252C247%252C278%252C298%252C299%252C302%252C303%252C394%252C395%252C396%252C397%252C398%252C399%26source%3Dyoutube%26requiressl%3Dyes%26xpc%3DEgVo2aDSNQ%253D%253D%26mh%3D6V%26mm%3D31%252C26%26mn%3Dsn-vgqsknzz%252Csn-q4fzen7s%26ms%3Dau%252Conr%26mv%3Dm%26mvi%3D2%26pl%3D17%26gcr%3Dus%26initcwndbps%3D713750%26bui%3DAXc671I7X1MMNaa2TGoLkuVSn1Wmlcdk3GY-aCuf4E2BAUBgA_Qyg_X7D3ct1Am1Tvqn7yAgmbfKTkkb%26spc%3DMv1m9lq9SRS95rDiQhncgMrMbl_5q-3EldM8_U0n6TmIWFigYDluHUzTFqvr%26vprv%3D1%26svpuc%3D1%26mime%3Dvideo%252Fmp4%26ns%3D1nvG3uNcWuA0hvCz3mRB6fAQ%26rqh%3D1%26gir%3Dyes%26clen%3D299901311%26dur%3D488.754%26lmt%3D1721256583640689%26mt%3D1723065658%26fvip%3D3%26keepalive%3Dyes%26c%3DWEB%26sefc%3D1%26txp%3D5535434%26n%3DNDRmp_q8XiaGBoPvjKZI%26sparams%3Dexpire%252Cei%252Cip%252Cid%252Caitags%252Csource%252Crequiressl%252Cxpc%252Cgcr%252Cbui%252Cspc%252Cvprv%252Csvpuc%252Cmime%252Cns%252Crqh%252Cgir%252Cclen%252Cdur%252Clmt%26lsparams%3Dmh%252Cmm%252Cmn%252Cms%252Cmv%252Cmvi%252Cpl%252Cinitcwndbps%26lsig%3DAGtxev0wRgIhAKzWGFBK0DyZNPhSR4QECWDytvE9k2QLNXENgsHhZBXjAiEA6eWuFffifag5lfRppBuuula5O9JBiwt7SSMmpJuCKPE%253D,640x360 / -,8338438,channelUCYLNGLIzMhRTi6ZOLjAPSmw,UCYLNGLIzMhRTi6ZOLjAPSmw
https://yt3.ggpht.com/4p8HQvp1CLv1HRXNbMx9mTbOGjsqg3W02jg8K41KtnptLVjts9bW_CsOuMOMXM7BFkAMXczR2w4=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channelUCYLNGLIzMhRTi6ZOLjAPSmw,"avc1.42001E, mp4a.40.2 / mp4a.40.2",bt709,640x360@30 / 640x360@30,2024-03-27T01:34:51.000Z,"Live from TSX, Times Square, 26 March 2024. Shakira's new album, Las Mujeres Ya No Lloran, is out now! Listen at https://SML.lnk.to/LMYNL

Shakira: 
Official Site: https://www.shakira.com/  
Store: https://shakira.store/

#shakira #lmynl",Shakira,,,199902,,11000,https://i.ytimg.com/vi/l3bxt6r3zq8/hqdefault.jpg,"['https://www.youtube.com/watch?v=uVTifWo9uH0', 'https://www.youtube.com/watch?v=RF5QiqhOjek', 'https://www.youtube.com/watch?v=GPmnZdaa1bk', 'https://www.youtube.com/watch?v=qr3R2Dzy0io', 'https://www.youtube.com/watch?v=Y7RFjtNrMe4', 'https://www.youtube.com/watch?v=BmLASUlBhx8', 'https://www.youtube.com/watch?v=j102o4JbZTE', 'https://www.youtube.com/watch?v=fJZRxwNrMRM', 'https://www.youtube.com/watch?v=6AiPyTd0o6c', 'https://www.youtube.com/watch?v=geHuX7E3NX8', 'https://www.youtube.com/watch?v=P1jGg5nMoyc', 'https://www.youtube.com/watch?v=wWmiI8V3Jvo', 'https://www.youtube.com/watch?v=mjrdywp5nyE', 'https://www.youtube.com/watch?v=xvbFjokb28U', 'https://www.youtube.com/watch?v=N1mDyE52RPY', 'https://www.youtube.com/watch?v=fvQ7uaM554g', 'https://www.youtube.com/watch?v=HjBo--1n8lI', 'https://www.youtube.com/watch?v=P5GYJ1qZAuU', 'https://www.youtube.com/watch?v=3R9QF3ztCh4', 'https://www.youtube.com/watch?v=2a3sD89Um4k']",l3bxt6r3zq8,46600000,"Shakira Live at TSX, Times Square",https://www.youtube.com/watch?v=l3bxt6r3zq8,False,l3bxt6r3zq8,957,https://rr3---sn-8xgp1vo-a5me.googlevideo.com/videoplayback?expire=1723087775&ei=P-ezZpnfHpPBsfIP68TV8Qc&ip=75.226.159.180&id=o-AJo-cVyMAMIBv50WZDPXdtQl1mB9TW07s7zZeMjOWoDS&itag=299&aitags=133%2C134%2C135%2C136%2C160%2C242%2C243%2C244%2C247%2C278%2C298%2C299%2C302%2C303%2C394%2C395%2C396%2C397%2C398%2C399&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&mh=mc&mm=31%2C26&mn=sn-8xgp1vo-a5me%2Csn-q4fl6n66&ms=au%2Conr&mv=m&mvi=3&pcm2cms=yes&pl=20&initcwndbps=428750&bui=AXc671Im8LXq5K59ru44ywYjBGNzXJiOyxQNqZ5_C8-OvGLfVWtQRtB6DtnEqMBQRIuTVe4_x-IvnUrU&spc=Mv1m9p1KnQTQz_WsWQiB1xvHivCj1gxn7jj4F7dyYSQJj87owhgbiueBvF12&vprv=1&svpuc=1&mime=video%2Fmp4&ns=2S5J-sYB09RgexAH971XuIIQ&rqh=1&gir=yes&clen=647216744&dur=956.905&lmt=1714236330704514&mt=1723065658&fvip=4&keepalive=yes&c=WEB&sefc=1&txp=5535434&n=eEp0ZfNDgah9d0-GqkwA&sparams=expire%2Cei%2Cip%2Cid%2Caitags%2Csource%2Crequiressl%2Cxpc%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cdur%2Clmt&sig=AJfQdSswRQIhAOWJT7ikpYW3FvsXEPjncgWU3fYuilo4D-Od-6IQLckvAiBfqIkDA7el3q2HDw-jJc-SWc_5tDsZPjY6grR8g7wjXw%3D%3D&lsparams=mh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Cinitcwndbps&lsig=AGtxev0wRgIhAP65HLnSfrIdurbZCaNNLOL0XFIF6m4SH81fMAia1yWPAiEAsWyhpVtbulOlXC_QvpFWv9qzdTN2UVienfwB1k12a9I%3D,640x360 / -,7208941,channelUCYLNGLIzMhRTi6ZOLjAPSmw,UCYLNGLIzMhRTi6ZOLjAPSmw
